epoch,step,min,max,mean,std
1,594,-0.00837675016373396,0.005195889621973038,-4.514300962910056e-05,0.0005674685817211866
2,1188,-0.051082730293273926,0.023054759949445724,-0.00015876324323471636,0.0037335946690291166
3,1782,-0.022521765902638435,0.01673067733645439,2.1631833078572527e-05,0.001563208526931703
4,2376,-0.03554161265492439,0.016880270093679428,2.6466477720532566e-06,0.0024945882614701986
5,2970,-0.03200976923108101,0.014417421072721481,-3.6853285564575344e-05,0.002318922197446227
6,3564,-0.016752347350120544,0.015444314107298851,2.738188049988821e-05,0.0016175229102373123
7,4158,-0.017726998776197433,0.0460672527551651,9.141249756794423e-05,0.002910488983616233
8,4752,-0.021464083343744278,0.025233455002307892,7.170678145484999e-06,0.0019983043894171715
9,5346,-0.01543441228568554,0.042757660150527954,1.957060885615647e-05,0.0028540443163365126
10,5940,-0.019011203199625015,0.04720132425427437,4.47185811935924e-05,0.0031122169457376003
11,6534,-0.009245600551366806,0.03075229935348034,8.88561480678618e-05,0.0016192120965570211
12,7128,-0.011197129264473915,0.013685572892427444,6.315900918707484e-06,0.0013606877764686942
