epoch,step,min,max,mean,std
1,594,-0.6728920340538025,0.6113525629043579,-0.054144930094480515,0.19341333210468292
2,1188,-1.1449894905090332,1.2255970239639282,0.10447105765342712,0.3293262720108032
3,1782,-0.9407472014427185,1.2266777753829956,0.10248731076717377,0.295461505651474
4,2376,-2.2021780014038086,2.4788460731506348,0.20316968858242035,0.660645604133606
5,2970,-1.9803228378295898,1.72444486618042,-0.2486574947834015,0.5836644172668457
6,3564,-1.5258574485778809,1.3936965465545654,-0.041074540466070175,0.5176241397857666
7,4158,-2.0557022094726562,5.173402786254883,0.39532390236854553,1.0041706562042236
8,4752,-3.520071268081665,2.381838083267212,-0.13682103157043457,0.9490693211555481
9,5346,-1.5190296173095703,2.588033437728882,0.08201492577791214,0.6637663841247559
10,5940,-1.7047784328460693,3.307123899459839,0.17186199128627777,0.6106318831443787
11,6534,-1.77003812789917,1.5907591581344604,-0.12807488441467285,0.5063210725784302
12,7128,-1.3985909223556519,2.2489888668060303,-0.21565043926239014,0.3990429937839508
