epoch,step,min,max,mean,std
1,594,-0.011432968080043793,0.005152782425284386,-0.0012522502802312374,0.0030613020062446594
2,1188,-0.05016881600022316,0.14527803659439087,0.0061266073025763035,0.018418142572045326
3,1782,-0.08105015754699707,0.02857055328786373,-0.0020236349664628506,0.010137500241398811
4,2376,-0.046040814369916916,0.06576843559741974,0.002230952261015773,0.010929415002465248
5,2970,-0.03347570076584816,0.023098519071936607,-0.0016528235282748938,0.008185644634068012
6,3564,-0.009538739919662476,0.04659286141395569,0.00318260514177382,0.005753122270107269
7,4158,-0.08230698108673096,0.04656941443681717,-0.002419997937977314,0.012195592746138573
8,4752,-0.06947420537471771,0.009769102558493614,-0.00413395743817091,0.007847637869417667
9,5346,-0.07334136962890625,0.12534388899803162,0.003954331856220961,0.017224211245775223
10,5940,-0.07282669097185135,0.028206944465637207,-0.004024490714073181,0.010592839680612087
11,6534,-0.021603848785161972,0.020397555083036423,-0.0008127803448587656,0.0039031098131090403
12,7128,-0.01151391863822937,0.013445512391626835,0.00023897300707176328,0.0034194274339824915
