epoch,step,min,max,mean,std
1,594,-0.007066357880830765,0.0032078044023364782,-0.00013942623627372086,0.0011422989191487432
2,1188,-0.03963134065270424,0.012567246332764626,-0.0010875524021685123,0.0066429912112653255
3,1782,-0.018315713852643967,0.014690876938402653,4.054396413266659e-06,0.0035426856484264135
4,2376,-0.02673502452671528,0.013327287510037422,5.163198511581868e-05,0.0050770011730492115
5,2970,-0.025039803236722946,0.010379882529377937,-0.00015258618805091828,0.004401673562824726
6,3564,-0.013792703859508038,0.01132493931800127,3.973492857767269e-05,0.0030859692487865686
7,4158,-0.01381007768213749,0.030426401644945145,0.00028099340852349997,0.005438955966383219
8,4752,-0.014900535345077515,0.021272076293826103,-0.00037939351750537753,0.0036890229675918818
9,5346,-0.015852751210331917,0.03676099702715874,0.0002015781938098371,0.006479198113083839
10,5940,-0.014615426771342754,0.039458077400922775,0.0002554244711063802,0.006536591798067093
11,6534,-0.009147479198873043,0.018553096801042557,0.00025628821458667517,0.002907792804762721
12,7128,-0.008903679437935352,0.010652306489646435,-6.790694897063076e-05,0.002368203829973936
