epoch,step,min,max,mean,std
1,594,-0.0025515579618513584,0.0019113202579319477,-1.6884088836377487e-05,0.0005735052400268614
2,1188,-0.016946226358413696,0.007933531887829304,0.00023418109049089253,0.00396264623850584
3,1782,-0.006633247248828411,0.005303915124386549,0.00010264193406328559,0.0018905625911429524
4,2376,-0.012304502539336681,0.005743561312556267,0.000546066730748862,0.0025433835107833147
5,2970,-0.011716959998011589,0.004852739628404379,0.00022318212722893804,0.002058690181002021
6,3564,-0.004998668096959591,0.0038122739642858505,4.081056249560788e-05,0.001479730592109263
7,4158,-0.007218942046165466,0.014340521767735481,-0.00035431754076853395,0.003034872468560934
8,4752,-0.005463331006467342,0.006806126795709133,-0.00036466162418946624,0.0019760949071496725
9,5346,-0.0103679820895195,0.016249509528279305,-0.0001517348864581436,0.004077219404280186
10,5940,-0.00712887616828084,0.018066097050905228,-0.0005836357595399022,0.0035191944334656
11,6534,-0.0031649006996303797,0.004315054975450039,-0.00024110384401865304,0.001148353097960353
12,7128,-0.004844676703214645,0.003313283436000347,-0.00015086754865478724,0.0009973588166758418
