epoch,step,min,max,mean,std
1,594,-0.004816553555428982,0.009650985710322857,0.0002499262918718159,0.0008810568833723664
2,1188,-0.0372435636818409,0.022373849526047707,-0.001232875045388937,0.004405620973557234
3,1782,-0.025335615500807762,0.0203672107309103,-0.0009962746407836676,0.003817019984126091
4,2376,-0.02172936499118805,0.01581530086696148,-0.0009621762437745929,0.003092000959441066
5,2970,-0.01975415274500847,0.0216982364654541,-0.00046295783249661326,0.0033379187807440758
6,3564,-0.05167366936802864,0.04554316774010658,0.001641659764572978,0.008323154412209988
7,4158,-0.032956562936306,0.04437967762351036,-0.0014982320135459304,0.0050978101789951324
8,4752,-0.01625715009868145,0.0185078252106905,0.0003540109028108418,0.0018799187382683158
9,5346,-0.08143984526395798,0.04615669697523117,0.002361417282372713,0.009291904047131538
