epoch,step,min,max,mean,std
1,594,-0.6521795988082886,0.8345879316329956,-0.08272503316402435,0.22393201291561127
2,1188,-1.733735203742981,1.6729415655136108,0.16668304800987244,0.5161840319633484
3,1782,-0.4449292719364166,0.6950341463088989,0.06257115304470062,0.19647903740406036
4,2376,-2.0057191848754883,3.4089064598083496,0.3057829737663269,0.9423548579216003
5,2970,-1.8555084466934204,0.8673007488250732,-0.3565713167190552,0.5483595728874207
6,3564,-2.8025007247924805,2.025991678237915,0.0118030346930027,0.927966833114624
7,4158,-1.5449597835540771,4.5847625732421875,0.9941769242286682,1.3023836612701416
8,4752,-5.057887554168701,3.171693801879883,0.08082902431488037,1.051579236984253
9,5346,-4.458976745605469,8.263032913208008,0.4317680895328522,1.6292964220046997
