epoch,step,min,max,mean,std
1,594,-0.08155521750450134,-0.08155521750450134,-0.08155521750450134,0.0
2,1188,0.255179226398468,0.255179226398468,0.255179226398468,0.0
3,1782,0.16875357925891876,0.16875357925891876,0.16875357925891876,0.0
4,2376,0.07487700879573822,0.07487700879573822,0.07487700879573822,0.0
5,2970,0.10728345811367035,0.10728345811367035,0.10728345811367035,0.0
6,3564,-0.24568291008472443,-0.24568291008472443,-0.24568291008472443,0.0
7,4158,0.08757483214139938,0.08757483214139938,0.08757483214139938,0.0
8,4752,-0.015966664999723434,-0.015966664999723434,-0.015966664999723434,0.0
9,5346,-0.20226755738258362,-0.20226755738258362,-0.20226755738258362,0.0
