epoch,step,min,max,mean,std
1,594,0.6786300539970398,0.6786300539970398,0.6786300539970398,0.0
2,1188,-1.0807616710662842,-1.0807616710662842,-1.0807616710662842,0.0
3,1782,-0.5020891427993774,-0.5020891427993774,-0.5020891427993774,0.0
4,2376,-1.0790379047393799,-1.0790379047393799,-1.0790379047393799,0.0
5,2970,0.7042436599731445,0.7042436599731445,0.7042436599731445,0.0
6,3564,-0.03189191222190857,-0.03189191222190857,-0.03189191222190857,0.0
7,4158,-1.2325026988983154,-1.2325026988983154,-1.2325026988983154,0.0
8,4752,-0.1144159585237503,-0.1144159585237503,-0.1144159585237503,0.0
9,5346,-0.6106938719749451,-0.6106938719749451,-0.6106938719749451,0.0
