epoch,step,min,max,mean,std
1,594,-0.1092587560415268,0.10970805585384369,-0.003999692387878895,0.018488723784685135
2,1188,-0.14785200357437134,0.1392686516046524,0.0024452432990074158,0.029266171157360077
3,1782,-0.06700153648853302,0.06903599947690964,0.0017365419771522284,0.013552961871027946
4,2376,-0.21552962064743042,0.18443094193935394,0.0019690704066306353,0.03993463143706322
5,2970,-0.25325140357017517,0.3324849009513855,-0.018257880583405495,0.04111136496067047
6,3564,-0.2548510432243347,0.5665816068649292,0.04129006341099739,0.08852735161781311
7,4158,-1.5369764566421509,0.784839928150177,0.07103141397237778,0.13854773342609406
8,4752,-0.7446796298027039,0.6236000657081604,0.019261427223682404,0.12219416350126266
9,5346,-0.34989458322525024,0.22023598849773407,-0.01728271320462227,0.05005846917629242
