epoch,step,min,max,mean,std
1,594,-9.829861640930176,-3.6794161796569824,-6.754638671875,3.0752227306365967
2,1188,-1.7994780540466309,2.7032158374786377,0.4518688917160034,2.251347064971924
3,1782,0.5532481670379639,3.6963083744049072,2.1247782707214355,1.5715301036834717
4,2376,0.43728262186050415,0.8091732263565063,0.6232279539108276,0.1859453022480011
5,2970,-1.9172035455703735,3.674715280532837,0.8787558674812317,2.79595947265625
6,3564,-8.322188377380371,4.182339191436768,-2.0699245929718018,6.252264022827148
7,4158,-7.639965534210205,2.8695626258850098,-2.3852014541625977,5.254764080047607
8,4752,4.913634777069092,6.215579032897949,5.564606666564941,0.6509721279144287
9,5346,1.6219725608825684,10.088974952697754,5.855473518371582,4.233501434326172
