epoch,step,min,max,mean,std
1,594,-0.23954857885837555,0.17006626725196838,-0.001007507205940783,0.01873796619474888
2,1188,-0.2016855776309967,0.2509339153766632,0.0027153899427503347,0.03175121173262596
3,1782,-0.2600964903831482,0.18439562618732452,0.0027458262629806995,0.022312195971608162
4,2376,-0.4220393896102905,0.38896703720092773,-0.005664615426212549,0.040892232209444046
5,2970,-0.971663773059845,0.5993462800979614,-0.006201399490237236,0.06659100204706192
6,3564,-0.9306533336639404,0.7158957719802856,-0.003921555355191231,0.09960732609033585
7,4158,-0.541658878326416,0.920269787311554,0.0026029571890830994,0.06599064916372299
8,4752,-0.6893694400787354,0.555171549320221,-0.001850516302511096,0.06112009659409523
9,5346,-0.771317720413208,0.8012655973434448,-0.0014417372876778245,0.08115527033805847
