epoch,step,min,max,mean,std
1,1000,-0.0409245565533638,0.0822407603263855,0.005593917332589626,0.017408574000000954
2,2000,-0.5865862369537354,0.24390198290348053,-0.041352421045303345,0.10599333792924881
3,3000,-0.19150368869304657,0.31821930408477783,0.006096897646784782,0.053134460002183914
4,4000,-0.21210765838623047,0.5982640981674194,0.06657309085130692,0.13328711688518524
5,5000,-0.4999784827232361,0.40028464794158936,-0.0034034638665616512,0.09525779634714127
6,6000,-0.5087277293205261,0.7259969711303711,0.023452382534742355,0.179759681224823
7,7000,-1.103306531906128,0.6982609033584595,-0.051159393042325974,0.23325423896312714
8,8000,-0.5818206667900085,0.6229249238967896,0.007697450928390026,0.15013368427753448
9,9000,-1.37919020652771,2.674044609069824,0.19467881321907043,0.5982090830802917
10,10000,-1.3011282682418823,0.445646196603775,-0.04367196932435036,0.21375122666358948
11,11000,-0.7935779690742493,0.8438014388084412,-0.005249570123851299,0.17781049013137817
12,12000,-0.38923653960227966,0.6565279960632324,0.006276717409491539,0.16888581216335297
13,13000,-1.9988021850585938,1.3077672719955444,-0.14647331833839417,0.439389705657959
14,14000,-1.799057960510254,1.2837806940078735,-0.06945578008890152,0.4130290150642395
15,15000,-1.2078043222427368,1.1065587997436523,-0.07070273905992508,0.32649803161621094
16,16000,-1.6461942195892334,1.4056520462036133,-0.08014197647571564,0.32008349895477295
17,17000,-1.6074315309524536,1.2033783197402954,0.03145803511142731,0.39451631903648376
18,18000,-3.674785852432251,2.463193416595459,-0.2502659559249878,1.002777099609375
19,19000,-2.539945602416992,2.375688314437866,0.10543937236070633,0.4837108254432678
20,20000,-2.2586100101470947,2.330519914627075,0.08361947536468506,0.5917301774024963
21,21000,-1.2716810703277588,3.0756895542144775,0.18671908974647522,0.7240740060806274
22,22000,-2.0578560829162598,4.348521709442139,0.14694300293922424,0.8858187198638916
