epoch,train_loss,val_loss
1,960.6684379414193,25.9782105772361
2,22.08262523286602,18.248421612277628
3,15.768799074801615,13.313754656018501
4,10.974539685697426,9.236466772872571
5,8.232527459149331,7.340547885054146
6,6.854805820196161,6.33318043345765
7,5.954927670120412,5.436626033379127
8,5.278203691941423,13.612222620549092
9,10.220351479519964,4.253674008361067
10,4.079689917403352,3.9585664245867
1,960.6684379414193,25.9782105772361
2,22.08262523286602,18.248421612277628
3,15.768799074801615,13.313754656018501
4,10.974539685697426,9.236466772872571
5,8.232527459149331,7.340547885054146
6,6.854805820196161,6.33318043345765
7,5.954927670120412,5.436626033379127
8,5.278203691941423,13.612222620549092
9,10.220351479519964,4.253674008361067
10,4.079689917403352,3.9585664245867
1,1.0119441049772717,1.0068901178006975
2,1.014123370364056,1.0109520857406413
1,443.7830397749347,26.321370687163025
3,1.001213048499175,1.0016199913596844
4,1.006173989940548,0.9957190577295739
2,19.828384299578488,14.931357101143924
5,1.001970716273728,1.0242805632839715
6,1.007088767320099,1.0088758084354938
7,1.0069286563630444,1.0141810329189165
3,9.423831591762132,6.216630226041686
8,1.0098977688737318,1.0085517692990797
9,1.0030299501357924,1.0117787843375483
4,5.059933830730307,4.913085714179539
10,0.9982432663430906,1.00044207992486
11,1.0072347481098298,1.002439530665426
12,1.0025009462281942,1.007954538401559
5,4.852934732677003,4.843651609432692
13,1.000626821159709,1.0042863426621147
14,1.0001849827573583,1.0004265566835462
15,0.9996335271391334,1.0081730710963899
6,4.789554291266899,4.831437189542793
16,1.002107728693647,0.992032565316121
17,0.9980533746244012,0.9903550625019872
7,4.751554661778543,4.777777155028721
18,1.0009495779281576,0.9929598013528621
19,0.9981077796511797,0.9978775421198267
20,1.000596370509673,0.9826595939192663
8,4.731390110983496,4.711573166607979
9,4.703789271709462,4.873725080643759
10,4.646576119848875,4.626099406469579
11,4.605996532775689,4.535243663999811
12,4.55357053856424,4.575804742465807
13,4.526035470616048,4.458377848294248
14,4.460971079087465,4.3999988764804705
15,4.426900714662305,4.381931313303806
16,4.423045389412775,4.4087924115668935
17,4.393700747714904,4.33298193949829
