epoch,step,min,max,mean,std
1,1000,-2.2829666137695312,2.132181406021118,0.015209930017590523,0.32501456141471863
2,2000,-1.5799843072891235,2.616546869277954,0.04253733903169632,0.41596099734306335
3,3000,-5.504956245422363,5.714197635650635,-0.007664497010409832,0.6291236281394958
4,4000,-2.4176483154296875,1.983257532119751,0.030186232179403305,0.3612605333328247
5,5000,-2.943284273147583,3.640998601913452,0.028818991035223007,0.5497453212738037
6,6000,-8.060637474060059,7.346511363983154,-0.013932563364505768,1.2171024084091187
7,7000,-11.599284172058105,10.991676330566406,-0.08904759585857391,1.7362754344940186
8,8000,-6.947767734527588,4.145597457885742,-0.09207548201084137,0.9010559320449829
9,9000,-7.984840393066406,12.397869110107422,0.006058883387595415,1.5061821937561035
10,10000,-13.992454528808594,20.68360137939453,0.01939747855067253,2.7521777153015137
11,11000,-10.17898941040039,8.960746765136719,0.010328128933906555,1.3274048566818237
12,12000,-8.040852546691895,12.794961929321289,0.09192255884408951,1.259114146232605
13,13000,-8.665700912475586,9.420822143554688,-0.010711785405874252,1.3352433443069458
14,14000,-4.124194622039795,11.07895565032959,0.019694563001394272,0.715722382068634
15,15000,-6.535653591156006,8.599553108215332,0.10816526412963867,1.2421396970748901
16,16000,-4.631536483764648,5.988232135772705,0.01858370192348957,0.8374263048171997
17,17000,-17.5191707611084,17.788311004638672,0.0269389096647501,2.459902286529541
18,18000,-8.176041603088379,13.003946304321289,0.04530121758580208,1.2727179527282715
19,19000,-10.435052871704102,18.739395141601562,0.06793582439422607,1.7679662704467773
20,20000,-10.878011703491211,21.957063674926758,0.08096284419298172,1.6482157707214355
21,21000,-10.312614440917969,11.286231994628906,0.04974225535988808,1.6326117515563965
22,22000,-7.663750171661377,8.914718627929688,0.06756232678890228,1.1621891260147095
23,23000,-15.527894020080566,20.31641387939453,-0.10213901102542877,2.5687005519866943
24,24000,-11.867266654968262,11.57919692993164,-0.030483150854706764,1.9506540298461914
25,25000,-4.305938720703125,9.09591007232666,-0.011670583859086037,0.7479121088981628
26,26000,-8.186542510986328,7.671798229217529,-0.04311848804354668,1.1665558815002441
27,27000,-16.080177307128906,13.442350387573242,-0.021781856194138527,1.8601465225219727
28,28000,-10.907405853271484,16.585603713989258,-0.018982019275426865,1.5615037679672241
29,29000,-9.481460571289062,11.567193031311035,-0.0015277706552296877,1.406987190246582
30,30000,-16.90835952758789,22.52043342590332,0.06857806444168091,2.153326988220215
