1,1000,-0.398351157928817
2,2000,-0.7690387036316096
3,3000,-1.1908704391866922
4,4000,-1.627522443883121
5,5000,-1.9467461942732334
6,6000,-2.3911204010248186
7,7000,-2.550796714909375
8,8000,-3.0295789503604174
9,9000,-3.6639341320693495
10,10000,-4.395446874409914
11,11000,-5.090689217284321
12,12000,-5.828141087546944
13,13000,-6.653262755841017
14,14000,-7.680667508661747
15,15000,-8.396450422227383
16,16000,-9.038706511855125
17,17000,-9.807195989072323
18,18000,-10.338654709100723
19,19000,-10.822978655099869
20,20000,-11.190763628125191
21,21000,-11.658597888469696
22,22000,-12.00220356941223
23,23000,-12.19500164103508
24,24000,-12.62515464925766
25,25000,-13.018212627410888
26,26000,-13.069480813503265
27,27000,-13.214696049690247
28,28000,-13.625969034194947
29,29000,-13.970578090667725
30,30000,-14.274495636463165
